<نماد>,<وضعیت در سود بودن نماد>,<حجم>,<تعداد>,<ارزش>,<ارزش مفهومی>,<موقعیت های باز>,<درصد تغییر>,<قیمت پایانی>,<درصد تغییر>,<قیمت آخرین معامله>>,<درصد تغییر>,<حجم خرید>,<قیمت خرید>,<قیمت فروش>,<حجم فروش>,<اندازه قرارداد>,<قیمت اعمال>,<روز باقی مانده تا سررسید>,<نماد پایه>,<پایانی دارایی پایه>,<درصد تغییر>,<آخرین معامله دارایی پایه>,<درصد تغییر>,<تاریخ شروع>,<تاریخ پایان>,<حجم فروش>,<قیمت فروش>,<قیمت خرید>,<حجم خرید>,<درصد تغییر>,<قیمت آخرین معامله>>,<درصد تغییر>,<قیمت پایانی>,<درصد تغییر>,<موقعیت های باز>,<ارزش مفهومی>,<ارزش>,<تعداد>,<حجم>,<وضعیت در سود بودن نماد>,<نماد>
ضجار8028,ITM,0,0,0.00,0.00,71683,0,439,0,470,7.06,1,411,549,200,1000,691,72,وتجارت,1012,2.95,1012,2.95,20260712,20261111,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طجار8028
ضمخا7093,ITM,0,0,0.00,0.00,13,0,1000,0,1000,0,250,400,0,0,1000,353,44,اخابر,1033,-1.15,1014,-2.97,20260613,20261014,0,0,0,0,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طمخا7093
ضملي7070,ITM,5041,254,23126117115.00,140488769250.00,57827,-0.26,3346,6.73,3460,10.37,1,3460,3461,100,1371,18630,30,فملي,21150,2.97,21150,2.97,20260610,20260930,5,790,377,5,-25.79,400,-25.79,400,0.19,2574,144983250.00,2742000.00,1,5,OTM,طملي7070
ضشنا8064,OTM,0,0,0.00,0.00,12,0,1000,0,1000,0,200,1070,2500,200,1000,14260,72,شپنا,12880,2.55,12920,2.87,20260712,20261111,0,0,11,111,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طشنا8064
ضستا6048,ITM,16663,85,16005422000.00,49213351000.00,309335,-3.38,961,-4.19,940,-6.28,1790,940,955,100,1000,2000,2,شستا,2956,-2.05,2946,-2.39,20260609,20260902,76001,1,0,0,0,1,0,1,0,334430,886200000.00,300000.00,1,300,OTM,طستا6048
ضذوب8023,ITM,0,0,0.00,0.00,0,0,1,0,1,0,100,245,0,0,1000,340,72,ذوب,575,2.86,575,2.86,20260815,20261111,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طذوب8023
ضملت7046,OTM,57471,244,7570153000.00,88289790000.00,424803,0.83,132,6.45,134,8.06,932,131,133,30,1000,1654,44,وبملت,1555,1.50,1542,0.65,20260718,20261014,0,0,70,1320,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طملت7046
ضخود9058,OTM,0,0,0.00,0.00,0,0,1,0,1,0,55,35,125,200,1000,1000,86,خودرو,714,-2.19,717,-1.78,20260829,20261125,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طخود9058
ضملي9040,ITM,17,4,99206000.00,359550000.00,2111,-0.05,5836,-13.25,6201,-7.82,1,6310,9900,10,1000,18000,86,فملي,21150,2.97,21150,2.97,20260808,20261125,5,2990,110,1,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طملي9040
ضشنا6038,ITM,10,1,80880000.00,126300000.00,389,-2.51,8088,1.71,8088,1.71,9,7407,9088,6,1000,4760,9,شپنا,12880,2.55,12920,2.87,20260610,20260909,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طشنا6038
ضتاص7013,OTM,0,0,0.00,0.00,3306,0,1735,0,1900,9.51,0,0,0,0,1000,24000,30,تاصيكو,22180,0,22180,0,20260809,20260930,0,0,0,0,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طتاص7013
ضسپا8082,ITM,2136,3,736584000.00,1484520000.00,6617,4.75,345,-5.48,396,8.49,450,326,377,300,1000,400,79,خساپا,696,1.90,695,1.76,20260822,20261118,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طسپا8082
ضستا6049,ITM,216019,700,164323059000.00,567501526000.00,1221912,-11.65,761,-4.28,752,-5.41,300,753,761,100,1000,2200,2,شستا,2956,-2.05,2946,-2.39,20260609,20260902,441044,1,0,0,0,1,0,1,-0.82,1301834,219401952000.00,76323000.00,158,75313,OTM,طستا6049
ضذوب7042,ITM,62379,185,8392510000.00,35839750000.00,178340,37.13,135,2.27,127,-3.79,510,128,133,603,1000,550,44,ذوب,575,2.86,575,2.86,20260712,20261014,0,0,15,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طذوب7042
